filename,address,ip,packet_loss,rtt_min,rtt_avg,rtt_max,rtt_mdev
2024-03-28_08.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.348,5.699,6.387,0.486
2024-03-28_08.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.13,0,7.185,7.279,7.358,0.071
2024-03-28_08.txt,uom.squizedge.cloud,104.18.17.217,0,11.735,11.883,12.133,0.177
2024-03-28_08.txt,www5.usp.br,200.144.248.54,0,141.963,142.368,143.155,0.556
2024-03-28_09.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.485,6.118,7.285,0.825
2024-03-28_09.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.64,0,7.259,7.295,7.352,0.040
2024-03-28_09.txt,uom.squizedge.cloud,104.18.16.217,0,11.789,12.300,13.147,0.602
2024-03-28_09.txt,www5.usp.br,200.144.248.54,0,141.563,142.425,143.930,1.067
2024-03-28_10.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.317,5.914,6.996,0.766
2024-03-28_10.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.13,0,7.166,7.455,7.685,0.215
2024-03-28_10.txt,uom.squizedge.cloud,104.18.17.217,0,11.779,11.832,11.924,0.065
2024-03-28_10.txt,www5.usp.br,200.144.248.54,0,141.520,141.802,142.259,0.325
2024-03-28_11.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.358,5.736,6.269,0.387
2024-03-28_11.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.27,0,7.279,7.780,8.730,0.671
2024-03-28_11.txt,uom.squizedge.cloud,104.18.17.217,0,11.661,11.691,11.736,0.032
2024-03-28_11.txt,www5.usp.br,200.144.248.54,0,141.891,142.322,142.831,0.387
2024-03-28_12.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.182,5.341,5.485,0.124
2024-03-28_12.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.64,0,7.302,7.417,7.647,0.162
2024-03-28_12.txt,uom.squizedge.cloud,104.18.17.217,0,11.676,11.754,11.814,0.057
2024-03-28_12.txt,www5.usp.br,200.144.248.54,0,142.308,142.932,143.749,0.603
2024-03-28_13.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.208,5.466,5.650,0.188
2024-03-28_13.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.27,0,7.278,7.360,7.403,0.058
2024-03-28_13.txt,uom.squizedge.cloud,104.18.17.217,0,11.738,12.023,12.516,0.349
2024-03-28_13.txt,www5.usp.br,200.144.248.54,0,141.568,141.918,142.407,0.356
2024-03-28_14.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.179,5.348,5.606,0.185
2024-03-28_14.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.118,0,7.353,7.454,7.629,0.123
2024-03-28_14.txt,uom.squizedge.cloud,104.18.16.217,0,11.823,12.090,12.494,0.290
2024-03-28_14.txt,www5.usp.br,200.144.248.54,0,142.126,142.182,142.250,0.051
2024-03-28_15.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.374,5.464,5.615,0.107
2024-03-28_15.txt,p3ureb8hc.cdn2.mlycdn.com,75.2.36.65,0,7.163,7.242,7.355,0.081
2024-03-28_15.txt,uom.squizedge.cloud,104.18.16.217,0,11.775,11.802,11.836,0.025
2024-03-28_15.txt,www5.usp.br,200.144.248.54,0,144.708,145.995,148.003,1.438
2024-03-29_02.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.414,5.733,6.088,0.276
2024-03-29_02.txt,p3ureb8hc.cdn2.mlycdn.com,99.84.9.37,0,6.419,6.921,7.899,0.691
2024-03-29_02.txt,uom.squizedge.cloud,104.18.16.217,0,11.786,11.838,11.867,0.037
2024-03-29_02.txt,www5.usp.br,200.144.248.54,0,142.026,142.155,142.263,0.097
2024-03-29_09.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.288,5.302,5.318,0.012
2024-03-29_09.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.13,0,7.257,7.322,7.397,0.057
2024-03-29_09.txt,uom.squizedge.cloud,104.18.17.217,0,11.748,11.780,11.816,0.027
2024-03-29_09.txt,www5.usp.br,200.144.248.54,0,141.581,141.691,141.781,0.082
2024-03-29_17.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.222,5.809,19.819,1.444
2024-03-29_17.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.64,0,7.141,7.569,9.800,0.451
2024-03-29_17.txt,uom.squizedge.cloud,104.18.16.217,0,11.612,12.084,27.105,1.434
2024-03-29_17.txt,www5.usp.br,200.144.248.54,0,141.104,141.480,142.845,0.355
2024-03-29_23.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.235,5.812,9.794,0.823
2024-03-29_23.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.118,0,7.222,7.484,9.618,0.333
2024-03-29_23.txt,uom.squizedge.cloud,104.18.16.217,0,11.594,12.026,14.530,0.488
2024-03-29_23.txt,www5.usp.br,200.144.248.54,0,141.485,142.000,146.417,0.644
